size,speed,exec_duration,proof_duration,total_duration,verify_duration,total_cycles,user_cycles,output_bytes,proof_bytes,max_memory,proof_duration_sec
10,4.350825,4968542,2293446125,2298414667,12640750,65536,2532,8,222668,0.03472900390625,2.293446125
100,46.016354,3323000,2169817541,2173140541,12502875,65536,7302,8,222668,0.5023651123046875,2.169817541
1000,362.5329,4642750,2753727750,2758370500,12774333,131072,55002,8,222668,0.6240997314453125,2.75372775
10000,845.2212,16019625,11815202792,11831222417,12754041,1048576,532002,8,222668,0.741119384765625,11.815202792
100000,1394.1849,132146292,71594345417,71726491709,12505458,5505024,5302002,8,222668,2.14947509765625,71.594345417
1000000,1458.2736,1261266250,684481078833,685742345083,12623958,54525952,53002002,8,222668,2.1556243896484375,684.481078833
